"","subject","targetSide","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest","nPerCond"
"1","AA","both","Left","Canonical",0.709262814831187,0.158402634998133,0.357778096898705,124.85867598294,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",204.424731650229,2.82113535715046e-34,72
"2","AA","both","Left","Inverted",0.834279613976016,0.475255124798777,0.56087374450129,113.691477708992,"None",200.363425961354,2.41395706599183e-37,72
"3","AA","both","Right","Canonical",0.640914978448759,0.253640500288083,0.397490403000302,147.21410768579,"None",209.114377185789,1.17171591224519e-26,72
"4","AA","both","Right","Inverted",0.606377100855774,0.119949971747022,0.426347134882283,150.628498090373,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",206.401450305513,5.10063036216661e-24,72
"5","AA","left","Left","Canonical",0.862731536066191,0.200458009130116,0.431440893724539,25.1742506094963,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",51.2100005198123,2.89181141106152e-11,18
"6","AA","left","Left","Inverted",0.784331927009866,0.447695071285623,0.640630322770462,31.8576509217976,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9637525247445,6.75334838476492e-08,18
"7","AA","right","Right","Canonical",0.87301606017634,0.399277287592268,0.146215851532562,21.3653804655998,"None",50.7175241365327,1.11177924940785e-12,18
"8","AA","right","Right","Inverted",0.793902397340635,0.216693980458401,0.437467370341371,27.9997762682065,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",50.0243771359727,1.47329613695168e-09,18
"9","AB","both","Left","Canonical",0.693098310459823,0.104060034508973,0.455987709656912,135.384115453901,"None",203.668110083538,2.07681731844945e-29,72
"10","AB","both","Left","Inverted",0.729174906561509,-0.16238679755555,0.455771653082924,129.07224554746,"None",203.762457481947,3.58441816434448e-32,72
"11","AB","both","Right","Canonical",0.834082020677187,0.334649612772439,0.543625839985051,112.661232854467,"None",201.146184238329,3.97921347900115e-38,72
"12","AB","both","Right","Inverted",0.725882179098848,0.458607901744479,0.467426445201914,132.074726206485,"None",203.707411595565,7.47017829565183e-31,72
"13","AB","left","Left","Canonical",0.863219371269879,-0.0758030029315316,0.358981244790309,23.2375318682656,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",52.103817817653,1.79274272545286e-12,18
"14","AB","left","Left","Inverted",0.862742982623833,0.0657302582331519,0.472673378927275,26.13841669487,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",51.3053106734348,6.78283752842893e-11,18
"15","AB","right","Right","Canonical",1,0.416796846521858,0.141152385981561,10.6351600737084,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,6.30309433224925e-17,18
"16","AB","right","Right","Inverted",0.790861983946961,0.352565245209966,0.487852659144587,29.2237979263746,"None",49.9065941203163,5.46987861149062e-09,18
"17","AC","both","Left","Canonical",0.763098215417287,-0.0792422263213407,0.436568525309847,118.571760728109,"None",202.130892200466,5.33037912645197e-36,72
"18","AC","both","Left","Inverted",0.87969658837592,-4.17875238759465e-06,0.501500168944558,99.409440287334,"None",201.06720129417,8.1047794835205e-44,72
"19","AC","both","Right","Canonical",0.675422623128331,0.115527816918827,0.379325771100912,130.90725857621,"None",202.701531878467,6.36263236138661e-31,72
"20","AC","both","Right","Inverted",0.692905112949591,0.146679535602301,0.443053531252604,133.706382107636,"None",202.72601185292,1.00048297356049e-29,72
"21","AC","left","Left","Canonical",0.910993370265309,0.131839687024265,0.815124521983114,29.781907777551,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",51.1875275497785,2.69890214462298e-09,18
"22","AC","left","Left","Inverted",0.809523997899028,-0.404141460577053,0.148860204292394,24.9773126370968,"None",50.1579085028829,6.69228634845148e-11,18
"23","AC","right","Right","Canonical",0.86538696645185,0.00410373111346763,0.429452233115142,23.163310632967,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,1.44379428519786e-11,18
"24","AC","right","Right","Inverted",0.729810584372013,0.280151828464461,0.651857495035755,35.1015425929748,"None",50.5813920283899,8.66820070576812e-07,18
"25","AD","both","Left","Canonical",0.582555585162567,0.34154649759746,0.46299488417732,160.382875669897,"None",208.710835716771,8.1360457926128e-21,72
"26","AD","both","Left","Inverted",0.365079338452821,0.499999976933365,0.163280344974846,187.913532759031,"None",210.335685767932,9.98518132851318e-10,72
"27","AD","both","Right","Canonical",0.392805121886569,0.532857175507218,0.779689126646298,192.819546684493,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",210.534086668569,9.88712144567243e-08,72
"28","AD","both","Right","Inverted",0.361407797183772,0.337218122445301,0.521827691756773,192.116218538522,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",212.056752031898,1.12918910065865e-08,72
"29","AD","left","Left","Canonical",1,0.111306236345985,1.11325329794493,28.0489941220858,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,1.73474421416776e-09,18
"30","AD","left","Left","Inverted",0.746031875251887,0.5846998377647,0.142836519176447,28.7921344208097,"None",50.2320164592125,2.60999298673701e-09,18
"31","AD","right","Right","Canonical",0.452993900774354,1.51578183560549e-08,0.298881416969915,41.303373070729,"None",51.9347513426908,9.28428058224811e-05,18
"32","AD","right","Right","Inverted",0.873015995205277,0.427750045377341,0.144955331900884,21.4944714985095,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,2.80174987625864e-12,18
"33","AE","both","Left","Canonical",0.914529587391804,-0.0231010414395223,0.298238662279195,58.965959649737,"message= , call= log(likelihood + 1e-08)",200.396484552561,5.09046435992201e-61,72
"34","AE","both","Left","Inverted",0.829058072223402,0.103753699031835,0.338778462280573,91.8389180726557,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",201.375417219777,3.18497744902915e-47,72
"35","AE","both","Right","Canonical",0.846153915869247,-0.0217835260553054,0.325180287842994,83.5491657219848,"None",200.943449126943,1.27475608946105e-50,72
"36","AE","both","Right","Inverted",0.675965417047136,0.0399314480958805,0.451071383219634,139.304893125267,"None",205.218722307571,2.18367878740083e-28,72
"37","AE","left","Left","Canonical",1,-4.11590080124294e-09,0.313821312569212,7.66530314453696,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,3.35132388975069e-18,18
"38","AE","left","Left","Inverted",1,0.174912285032393,0.420676146484953,13.1533391402109,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,7.57110519684171e-16,18
"39","AE","right","Right","Canonical",1,2.34252650019102e-08,0.313821289461269,7.66530314453704,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,3.35132388975096e-18,18
"40","AE","right","Right","Inverted",0.794580306056159,0.150302317368466,0.402111946868307,27.0845898384392,"None",50.2320164592125,4.90909216320985e-10,18
"41","AF","both","Left","Canonical",0.86691273485037,0.334991099316959,0.699401679286427,116.739375203945,"None",200.641864202245,3.78895838461198e-36,72
"42","AF","both","Left","Inverted",0.781319382203181,0.364495696048103,0.689277656193722,134.430044889065,"None",202.172998841404,3.55358524324907e-29,72
"43","AF","both","Right","Canonical",0.232974636399539,0.0673192738015806,0.924781067858657,206.950098784654,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",212.88425182713,0.00784817653870711,72
"44","AF","both","Right","Inverted",0.158730167109122,0.55406583516022,0.161310873961971,213.356115831317,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",218.630357567904,0.0144355869611133,72
"45","AF","left","Left","Canonical",0.790145076200642,0.354112389005715,0.484768131768944,31.3451389494936,"None",52.023775128441,5.49215332458299e-09,18
"46","AF","left","Left","Inverted",0.929896558368742,0.358212554917367,0.495671991758708,21.4547398954472,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,2.69443334315806e-12,18
"47","AF","right","Right","Canonical",0.682539337379887,0.419879648462282,0.149908639217102,32.6655167989528,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",50.7175241365327,7.11861546179891e-08,18
"48","AF","right","Right","Inverted",0.936508179871623,0.464114647648247,0.159540220114611,18.9629817807167,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",50.8510554777286,9.16454794168239e-14,18
"49","AG","both","Left","Canonical",0.863155720129511,0.273557236935466,0.308285053960221,88.2904521506497,"None",202.549024354319,2.89347814844328e-49,72
"50","AG","both","Left","Inverted",0.778657945124965,0.188504214317996,0.426734557072351,118.245766693206,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",204.696878562378,3.00669841090246e-37,72
"51","AG","both","Right","Canonical",0.744812911924574,0.214335840752727,0.441364636236714,129.293891350374,"None",207.526887823498,1.06106230598891e-33,72
"52","AG","both","Right","Inverted",0.831251494197214,0.316453924606273,0.402581399604204,103.299624302703,"None",201.260754486947,3.20777289763851e-42,72
"53","AG","left","Left","Canonical",0.873015888639185,0.33388927515566,0.140281401943055,17.5854121063103,"None",49.9065941203163,5.98214202813404e-14,18
"54","AG","left","Left","Inverted",0.746031923763879,0.395762673156274,0.0645566443925421,24.0988637822242,"None",50.3120591484245,2.4295613097402e-11,18
"55","AG","right","Right","Canonical",1,0.295192126627563,0.128549737120018,3.86206443873373,"None",49.9065941203163,7.79471831274091e-20,18
"56","AG","right","Right","Inverted",1,0.174912283041484,0.420676131006108,13.1533391402109,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",49.9065941203163,7.57110519684171e-16,18
"57","AH","both","Left","Canonical",0.812837613387962,0.038990735520791,0.399841032561664,105.100764836049,"None",203.336079693687,2.44189820672336e-42,72
"58","AH","both","Left","Inverted",0.811322474919315,0.234659958527189,0.405610488485215,109.961763070175,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",204.412448454724,1.05421019668064e-40,72
"59","AH","both","Right","Canonical",0.0952381135935213,0.34306569912221,0.142519123518661,213.861125516146,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",216.668248523633,0.131962897812056,72
"60","AH","both","Right","Inverted",0.126984191528575,0.332058388442703,0.141226603335843,210.225593189319,"None",215.053262697483,0.0217349623215687,72
"61","AH","left","Left","Canonical",0.863219011166048,-0.0758030929747087,0.358981204388503,22.3437182192935,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",51.2100005198123,1.79274915737542e-12,18
"62","AH","left","Left","Inverted",0.923845406924965,0.460389244625366,0.617445936264238,24.6098892682856,"message= , call= log(likelihood + 1e-08)",50.2320164592125,4.33964282851378e-11,18
"63","AH","right","Right","Canonical",0.547295051921246,0.366974859153513,0.568537298511717,42.0180887940272,"None",51.9620900841096,0.000179059740019734,18
"64","AH","right","Right","Inverted",0.655399685357887,0.739476407503591,0.44970192653979,37.3655266123777,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",52.6064467427861,1.09274253716218e-06,18
"65","AI","both","Left","Canonical",0.642560798333617,0.205486131131359,0.434152432514703,147.480373826837,"None",208.055763945772,4.36100798490465e-26,72
"66","AI","both","Left","Inverted",0.511667862443349,0.41013254153607,0.629852161472448,179.816424906511,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",212.649307187242,3.61358958532688e-14,72
"67","AI","both","Right","Canonical",0.854094073884648,0.261525061895568,0.544945877753183,108.947590598116,"message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)",200.974374180442,1.17497481355865e-39,72
"68","AI","both","Right","Inverted",0.766143473313554,0.18688887044083,0.517635847098179,127.919464473793,"None",204.780203232755,4.14868783075797e-33,72
"69","AI","left","Left","Canonical",0.850013768473535,0.429895057585701,0.611895109277909,29.0584097127121,"None",50.6503848861626,2.24933588330725e-09,18
"70","AI","left","Left","Inverted",0.80906321163694,0.828562888383964,0.628472585869477,32.7020269772381,"None",52.1038174176535,1.91017811271211e-08,18
"71","AI","right","Right","Canonical",0.873016032002628,0.396915137411266,0.14964483907015,20.6116101741539,"None",49.9637525247445,1.11178069314377e-12,18
