subject	targetSide	orientation	stream	trial	respSP	numTargets	targetSP	targetOrient	resp	respOrient	respOrder	allRTs	SPE	orientMinus3	orientMinus2	orientMinus1	orient0	orientPlus1	orientPlus2	efficacy	latency	precision	val	warnings	valGuessing	pLRtest	nPerCond	exclude
AA	both	Canonical	Left	93.05555555555556	8.416666666666666	2	8.583333333333334	0	6.597222222222222	0.1527777777777778	1.5694444444444444	4.25859357212514	-0.16666666666666666	0.5555555555555556	0.5555555555555556	0.5277777777777778	0	0.5833333333333334	0.5138888888888888	0.709262814831187	0.158402634998133	0.357778096898705	124.85867598294	message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)	204.424731650229	2.82113535715046e-34	72	FALSE
AA	both	Canonical	Right	93.05555555555556	8.26388888888889	2	8.583333333333334	0	8.097222222222221	0.6388888888888888	1.5694444444444444	3.8319604732917267	-0.3194444444444444	0.5555555555555556	0.5555555555555556	0.5277777777777778	0	0.5833333333333334	0.5138888888888888	0.640914978448759	0.253640500288083	0.397490403000302	147.21410768579	None	209.114377185789	1.17171591224519e-26	72	FALSE
AA	both	Inverted	Left	119.375	8.402777777777779	2	8.23611111111111	1	7.847222222222222	0.5	1.5277777777777777	3.780522021055554	0.16666666666666666	0.4166666666666667	0.3333333333333333	0.3472222222222222	1	0.4305555555555556	0.5416666666666666	0.834279613976016	0.475255124798777	0.56087374450129	113.691477708992	None	200.363425961354	2.41395706599183e-37	72	FALSE
AA	both	Inverted	Right	119.375	7.833333333333333	2	8.23611111111111	1	7.666666666666667	0.7083333333333334	1.5277777777777777	3.655207763527718	-0.4027777777777778	0.4166666666666667	0.3333333333333333	0.3472222222222222	1	0.4305555555555556	0.5416666666666666	0.606377100855774	0.119949971747022	0.426347134882283	150.628498090373	message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)	206.401450305513	5.1006303621666104e-24	72	FALSE
AA	left	Canonical	Left	116.05555555555556	9.222222222222221	1	8.11111111111111	0	9.11111111111111	0.2777777777777778	1	2.355223732722152	1.1111111111111112	0.5555555555555556	0.5555555555555556	0.5	0	0.5	0.3888888888888889	0.862731536066191	0.200458009130116	0.431440893724539	25.1742506094963	message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)	51.2100005198123	2.89181141106152e-11	18	FALSE
AA	left	Canonical	Right	116.05555555555556	NA	1	NaN	NaN	NaN	NaN	1	NaN	NA	NaN	-99	-99	-99	-99	-99	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
AA	left	Inverted	Left	100.94444444444444	9	1	8.777777777777779	1	9	0.6111111111111112	1	2.1992489160558963	0.2222222222222222	0.4444444444444444	0.4444444444444444	0.5	1	0.4444444444444444	0.5	0.784331927009866	0.447695071285623	0.640630322770462	31.8576509217976	message= , call= bobyqa(par = par, fn = ufn, lower = lower, upper = upper, control = mcontrol,     ...)	49.9637525247445	6.75334838476492e-8	18	FALSE
AA	left	Inverted	Right	100.94444444444444	NA	1	NaN	NaN	NaN	NaN	1	NaN	NA	NaN	-99	-99	-99	-99	-99	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
AA	right	Canonical	Left	122.77777777777777	NA	1	NaN	NaN	NaN	NaN	2	NaN	NA	NaN	-99	-99	-99	-99	-99	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
AA	right	Canonical	Right	122.77777777777777	7.833333333333333	1	7.777777777777778	0	8.88888888888889	0.3888888888888889	2	2.106521543111032	0.05555555555555555	0.4444444444444444	0.6111111111111112	0.5	0	0.7222222222222222	0.4444444444444444	0.87301606017634	0.399277287592268	0.146215851532562	21.3653804655998	None	50.7175241365327	1.11177924940785e-12	18	FALSE
